Alt (m);Mach number;Throttle;Power (kW);SFC (gr/MJ);PCN HP;PCN LP;PCN PT;Inlet airflow (kg/s);Fuel flow (kg/s);eta;ISA dev C;P3 (bar);T3 (K);FAR;Residual thrust (N);;;Power (kW)
0;0.4;1.09;1300000;79.40;1.02;1.03;1.0003;5.55;0.10;0.29;-10;19.09;706.97;0.02;1476.56;;;1300
0;0.6;0.38;500000;94.57;0.88;0.76;0.99931;3.73;0.05;0.25;-10;11.52;626.10;0.01;129.29;;;500
0;0.6;0.54;700000;85.27;0.92;0.85;0.99964;4.25;0.06;0.27;-10;13.52;650.76;0.02;321.08;;;700
0;0.6;0.69;900000;80.50;0.95;0.90;0.9999;4.74;0.07;0.29;-10;15.44;671.42;0.02;546.35;;;900
0;0.6;0.84;1100000;77.89;0.98;0.95;1.0001;5.22;0.09;0.30;-10;17.38;689.31;0.02;809.55;;;1100
0;0.6;1.00;1300000;76.80;1.01;1.00;1.0003;5.68;0.10;0.30;-10;19.30;707.16;0.02;1108.39;;;1300
0;0.6;1.15;1500000;76.92;1.03;1.03;1.0004;6.10;0.12;0.30;-10;21.19;726.45;0.02;1444.93;;;1500
1000;0;0.10;100020;220.74;0.77;0.50;0.9977;1.86;0.02;0.11;-10;5.39;520.43;0.01;252.52;;;100.02
1000;0;0.29;300000;119.40;0.85;0.75;0.9988;2.81;0.04;0.19;-10;8.51;582.43;0.01;565.41;;;300
1000;0;0.48;500000;97.06;0.90;0.86;0.99931;3.41;0.05;0.24;-10;10.71;615.43;0.02;853.86;;;500
1000;0;0.67;700000;87.35;0.94;0.92;0.99964;3.92;0.06;0.27;-10;12.67;639.17;0.02;1158.41;;;700
1000;0;0.86;900000;83.21;0.98;0.98;0.9999;4.37;0.07;0.28;-10;14.54;663.35;0.02;1492.63;;;900
1000;0;1.05;1100000;81.53;1.01;1.03;1.0001;4.80;0.09;0.28;-10;16.39;687.15;0.02;1861.73;;;1100
1000;0.2;0.09;100020;218.45;0.76;0.49;0.9977;1.87;0.02;0.11;-10;5.40;520.95;0.01;129.83;;;100.02
1000;0.2;0.28;300000;118.44;0.85;0.74;0.9988;2.82;0.04;0.20;-10;8.52;582.96;0.01;380.23;;;300
1000;0.2;0.47;500000;96.43;0.90;0.85;0.99931;3.42;0.05;0.24;-10;10.72;616.22;0.02;629.38;;;500
1000;0.2;0.66;700000;86.86;0.94;0.92;0.99964;3.93;0.06;0.27;-10;12.69;640.06;0.02;900.40;;;700
1000;0.2;0.85;900000;82.63;0.97;0.97;0.9999;4.39;0.07;0.28;-10;14.58;663.37;0.02;1206.18;;;900
1000;0.2;1.04;1100000;81.01;1.00;1.02;1.0001;4.82;0.09;0.29;-10;16.43;687.01;0.02;1548.38;;;1100
1000;0.4;0.09;100020;211.22;0.76;0.47;0.9977;1.90;0.02;0.11;-10;5.44;522.25;0.01;4.69;;;100.02
1000;0.4;0.27;300000;115.50;0.84;0.71;0.9988;2.85;0.03;0.20;-10;8.56;584.48;0.01;193.14;;;300
1000;0.4;0.45;500000;94.48;0.89;0.83;0.99931;3.45;0.05;0.25;-10;10.77;618.50;0.02;403.61;;;500
1000;0.4;0.62;700000;85.44;0.93;0.90;0.99964;3.96;0.06;0.27;-10;12.73;643.09;0.02;641.47;;;700
1000;0.4;0.80;900000;80.99;0.97;0.96;0.9999;4.45;0.07;0.29;-10;14.66;664.05;0.02;919.07;;;900
1000;0.4;0.98;1100000;79.44;1.00;1.00;1.0001;4.89;0.09;0.29;-10;16.54;686.90;0.02;1235.76;;;1100
1000;0.4;1.16;1300000;79.14;1.03;1.05;1.0003;5.31;0.10;0.29;-10;18.42;709.09;0.02;1589.40;;;1300
1000;0.6;0.25;300000;110.63;0.83;0.66;0.9988;2.90;0.03;0.21;-10;8.63;587.48;0.01;0.14;;;300
1000;0.6;0.41;500000;91.09;0.88;0.79;0.99931;3.50;0.05;0.25;-10;10.85;621.85;0.01;172.05;;;500
1000;0.6;0.57;700000;82.80;0.92;0.86;0.99964;4.01;0.06;0.28;-10;12.82;646.83;0.02;377.87;;;700
1000;0.6;0.74;900000;78.75;0.96;0.92;0.9999;4.51;0.07;0.29;-10;14.76;668.29;0.02;624.38;;;900
1000;0.6;0.90;1100000;76.92;0.99;0.97;1.0001;4.99;0.08;0.30;-10;16.72;687.74;0.02;915.02;;;1100
1000;0.6;1.07;1300000;76.73;1.01;1.02;1.0003;5.43;0.10;0.30;-10;18.63;708.85;0.02;1245.48;;;1300
2000;0;0.10;100020;207.38;0.76;0.51;0.9977;1.73;0.02;0.11;-10;5.01;515.96;0.01;244.00;;;100.02
2000;0;0.31;300000;113.67;0.85;0.77;0.9988;2.62;0.03;0.20;-10;7.96;577.79;0.01;553.14;;;300
2000;0;0.51;500000;93.28;0.90;0.87;0.99931;3.20;0.05;0.25;-10;10.09;610.94;0.02;846.10;;;500
2000;0;0.72;700000;84.90;0.94;0.94;0.99964;3.71;0.06;0.27;-10;12.04;636.08;0.02;1166.52;;;700
2000;0;0.92;900000;81.94;0.98;1.00;0.9999;4.15;0.07;0.28;-10;13.91;663.50;0.02;1521.61;;;900
2000;0;1.13;1100000;80.94;1.02;1.06;1.0001;4.57;0.09;0.29;-10;15.78;689.20;0.02;1916.81;;;1100
2000;0.2;0.10;100020;205.52;0.76;0.51;0.9977;1.73;0.02;0.11;-10;5.02;516.61;0.01;131.41;;;100.02
2000;0.2;0.30;300000;112.77;0.85;0.76;0.9988;2.63;0.03;0.21;-10;7.98;578.30;0.01;382.00;;;300
2000;0.2;0.50;500000;92.71;0.90;0.87;0.99931;3.21;0.05;0.25;-10;10.10;611.70;0.02;637.71;;;500
2000;0.2;0.70;700000;84.36;0.94;0.94;0.99964;3.72;0.06;0.27;-10;12.06;636.52;0.02;925.75;;;700
2000;0.2;0.90;900000;81.41;0.98;0.99;0.9999;4.17;0.07;0.28;-10;13.94;663.45;0.02;1253.54;;;900
2000;0.2;1.11;1100000;80.44;1.01;1.05;1.0001;4.59;0.09;0.29;-10;15.82;688.93;0.02;1622.32;;;1100
2000;0.4;0.10;100020;199.47;0.75;0.49;0.9977;1.76;0.02;0.12;-10;5.05;518.28;0.01;16.91;;;100.02
2000;0.4;0.29;300000;110.17;0.84;0.73;0.9988;2.66;0.03;0.21;-10;8.01;579.92;0.01;209.64;;;300
2000;0.4;0.48;500000;90.96;0.89;0.84;0.99931;3.24;0.05;0.25;-10;10.14;613.96;0.02;428.34;;;500
2000;0.4;0.67;700000;82.97;0.94;0.91;0.99964;3.75;0.06;0.28;-10;12.11;638.99;0.02;684.03;;;700
2000;0.4;0.86;900000;79.81;0.97;0.97;0.9999;4.23;0.07;0.29;-10;14.03;663.47;0.02;985.82;;;900
2000;0.4;1.05;1100000;78.98;1.01;1.03;1.0001;4.66;0.09;0.29;-10;15.93;688.47;0.02;1329.69;;;1100
2000;0.6;0.26;300000;105.70;0.83;0.68;0.9988;2.71;0.03;0.22;-10;8.07;582.51;0.01;31.81;;;300
2000;0.6;0.44;500000;87.92;0.88;0.81;0.99931;3.29;0.04;0.26;-10;10.22;617.50;0.01;214.09;;;500
2000;0.6;0.62;700000;80.69;0.92;0.88;0.99964;3.80;0.06;0.29;-10;12.19;643.43;0.02;438.03;;;700
2000;0.6;0.79;900000;77.36;0.96;0.94;0.9999;4.31;0.07;0.30;-10;14.17;665.31;0.02;710.83;;;900
2000;0.6;0.97;1100000;76.58;0.99;1.00;1.0001;4.77;0.08;0.30;-10;16.11;688.47;0.02;1030.38;;;1100
2000;0.6;1.14;1300000;77.17;1.03;1.04;1.0003;5.21;0.10;0.30;-10;18.07;712.00;0.02;1406.12;;;1300
3000;0;0.11;100010;194.76;0.75;0.53;0.9977;1.60;0.02;0.12;-10;4.65;511.17;0.01;236.26;;;100.01
3000;0;0.33;300000;108.30;0.85;0.79;0.9988;2.45;0.03;0.21;-10;7.45;573.06;0.01;542.27;;;300
3000;0;0.55;500000;89.79;0.90;0.88;0.99931;3.02;0.04;0.26;-10;9.53;606.14;0.02;842.88;;;500
3000;0;0.77;700000;83.12;0.95;0.96;0.99964;3.50;0.06;0.28;-10;11.46;635.24;0.02;1180.06;;;700
3000;0;0.99;900000;81.06;0.99;1.02;0.9999;3.94;0.07;0.29;-10;13.34;664.72;0.02;1561.93;;;900
3000;0;1.21;1100000;81.29;1.03;1.09;1.0001;4.35;0.09;0.29;-10;15.22;695.35;0.02;1989.87;;;1100
3000;0.2;0.11;100010;193.20;0.75;0.52;0.9977;1.61;0.02;0.12;-10;4.66;511.96;0.01;132.85;;;100.01
3000;0.2;0.32;300000;107.56;0.84;0.78;0.9988;2.46;0.03;0.22;-10;7.46;573.76;0.01;384.62;;;300
3000;0.2;0.54;500000;89.31;0.90;0.88;0.99931;3.02;0.04;0.26;-10;9.54;607.11;0.02;649.05;;;500
3000;0.2;0.75;700000;82.57;0.95;0.95;0.99964;3.52;0.06;0.28;-10;11.48;635.27;0.02;956.24;;;700
3000;0.2;0.97;900000;80.56;0.99;1.02;0.9999;3.96;0.07;0.29;-10;13.38;664.57;0.02;1310.69;;;900
3000;0.2;1.19;1100000;80.64;1.03;1.09;1.0001;4.38;0.09;0.29;-10;15.28;693.57;0.02;1716.71;;;1100
3000;0.4;0.10;100020;188.22;0.75;0.50;0.9977;1.63;0.02;0.12;-10;4.68;513.98;0.01;28.10;;;100.02
3000;0.4;0.31;300000;105.22;0.84;0.75;0.9988;2.48;0.03;0.22;-10;7.50;575.42;0.01;225.73;;;300
3000;0.4;0.51;500000;87.77;0.89;0.86;0.99931;3.05;0.04;0.26;-10;9.57;609.59;0.02;454.70;;;500
3000;0.4;0.72;700000;80.95;0.94;0.93;0.99964;3.56;0.06;0.29;-10;11.55;635.79;0.02;731.96;;;700
3000;0.4;0.92;900000;79.08;0.98;0.99;0.9999;4.02;0.07;0.29;-10;13.47;664.37;0.02;1060.55;;;900
3000;0.4;1.13;1100000;79.11;1.02;1.06;1.0001;4.46;0.09;0.29;-10;15.41;691.71;0.02;1444.53;;;1100
3000;0.6;0.28;300000;101.24;0.83;0.70;0.9988;2.53;0.03;0.23;-10;7.55;578.00;0.01;62.40;;;300
3000;0.6;0.47;500000;85.08;0.88;0.82;0.99931;3.09;0.04;0.27;-10;9.64;613.30;0.02;256.46;;;500
3000;0.6;0.66;700000;78.88;0.93;0.90;0.99964;3.61;0.06;0.29;-10;11.62;640.28;0.02;502.12;;;700
3000;0.6;0.85;900000;76.59;0.97;0.97;0.9999;4.11;0.07;0.30;-10;13.62;664.48;0.02;804.39;;;900
3000;0.6;1.04;1100000;76.86;1.01;1.02;1.0001;4.56;0.08;0.30;-10;15.59;691.16;0.02;1165.46;;;1100
4000;0;0.12;100010;182.92;0.75;0.55;0.9977;1.49;0.02;0.13;-10;4.31;505.89;0.01;228.02;;;100.01
4000;0;0.35;300000;103.41;0.84;0.80;0.9988;2.29;0.03;0.22;-10;6.97;568.27;0.02;532.21;;;300
4000;0;0.59;500000;86.79;0.91;0.90;0.99931;2.84;0.04;0.27;-10;9.02;602.02;0.02;845.92;;;500
4000;0;0.83;700000;81.84;0.96;0.98;0.99964;3.32;0.06;0.28;-10;10.94;635.51;0.02;1204.47;;;700
4000;0;1.06;900000;80.79;1.00;1.06;0.9999;3.76;0.07;0.29;-10;12.84;668.09;0.02;1616.52;;;900
4000;0.2;0.12;100010;181.63;0.74;0.54;0.9977;1.49;0.02;0.13;-10;4.31;506.77;0.01;133.52;;;100.01
4000;0.2;0.35;300000;102.73;0.84;0.79;0.9988;2.29;0.03;0.23;-10;6.98;568.94;0.01;387.12;;;300
4000;0.2;0.58;500000;86.34;0.90;0.89;0.99931;2.85;0.04;0.27;-10;9.03;602.87;0.02;665.56;;;500
4000;0.2;0.81;700000;81.32;0.95;0.97;0.99964;3.33;0.06;0.29;-10;10.96;635.44;0.02;995.57;;;700
4000;0.2;1.04;900000;80.26;1.00;1.05;0.9999;3.78;0.07;0.29;-10;12.88;667.44;0.02;1381.92;;;900
4000;0.4;0.11;100020;177.57;0.74;0.52;0.9977;1.50;0.02;0.13;-10;4.33;509.21;0.01;38.24;;;100.02
4000;0.4;0.33;300000;100.65;0.84;0.77;0.9988;2.31;0.03;0.23;-10;7.01;570.74;0.01;241.12;;;300
4000;0.4;0.55;500000;85.00;0.90;0.88;0.99931;2.87;0.04;0.27;-10;9.06;605.59;0.02;484.81;;;500
4000;0.4;0.77;700000;79.76;0.95;0.95;0.99964;3.38;0.06;0.29;-10;11.03;635.40;0.02;787.15;;;700
4000;0.4;0.99;900000;78.88;0.99;1.02;0.9999;3.83;0.07;0.29;-10;12.98;666.67;0.02;1148.72;;;900
4000;0.4;1.22;1100000;80.19;1.03;1.10;1.0001;4.26;0.09;0.29;-10;14.94;699.30;0.02;1579.48;;;1100
4000;0.6;0.31;300000;97.10;0.83;0.72;0.9988;2.35;0.03;0.24;-10;7.06;573.40;0.01;91.14;;;300
4000;0.6;0.51;500000;82.62;0.89;0.84;0.99931;2.91;0.04;0.28;-10;9.12;609.52;0.02;301.03;;;500
4000;0.6;0.72;700000;77.44;0.94;0.92;0.99964;3.44;0.05;0.30;-10;11.13;637.37;0.02;573.10;;;700
4000;0.6;0.92;900000;76.58;0.98;0.99;0.9999;3.92;0.07;0.30;-10;13.13;666.39;0.02;910.36;;;900
4000;0.6;1.13;1100000;77.77;1.02;1.06;1.0001;4.38;0.09;0.30;-10;15.17;695.68;0.02;1323.80;;;1100
5000;0;0.13;100010;172.38;0.74;0.57;0.9977;1.37;0.02;0.13;-10;3.99;501.22;0.01;220.48;;;100.01
5000;0;0.39;300000;98.93;0.84;0.82;0.9988;2.13;0.03;0.23;-10;6.52;563.64;0.02;524.39;;;300
5000;0;0.64;500000;84.40;0.91;0.92;0.99931;2.68;0.04;0.27;-10;8.55;599.38;0.02;854.18;;;500
5000;0;0.90;700000;80.98;0.96;1.00;0.99964;3.15;0.06;0.29;-10;10.47;636.97;0.02;1238.68;;;700
5000;0;1.16;900000;81.78;1.01;1.08;0.9999;3.55;0.07;0.28;-10;12.36;677.89;0.02;1684.03;;;900
5000;0.2;0.13;100010;171.20;0.74;0.56;0.9977;1.38;0.02;0.14;-10;3.99;501.99;0.01;134.35;;;100.01
5000;0.2;0.38;300000;98.34;0.84;0.81;0.9988;2.14;0.03;0.24;-10;6.53;564.30;0.02;391.04;;;300
5000;0.2;0.63;500000;83.86;0.91;0.91;0.99931;2.69;0.04;0.28;-10;8.56;599.55;0.02;686.94;;;500
5000;0.2;0.88;700000;80.49;0.96;1.00;0.99964;3.16;0.06;0.29;-10;10.50;636.76;0.02;1043.33;;;700
5000;0.2;1.14;900000;81.09;1.01;1.08;0.9999;3.58;0.07;0.29;-10;12.42;675.71;0.02;1467.32;;;900
5000;0.4;0.12;100010;167.90;0.73;0.53;0.9977;1.39;0.02;0.14;-10;4.01;504.69;0.01;47.45;;;100.01
5000;0.4;0.36;300000;96.45;0.84;0.79;0.9988;2.16;0.03;0.24;-10;6.55;566.22;0.01;256.63;;;300
5000;0.4;0.60;500000;82.59;0.90;0.89;0.99931;2.71;0.04;0.28;-10;8.60;601.88;0.02;518.95;;;500
5000;0.4;0.84;700000;79.06;0.96;0.97;0.99964;3.20;0.06;0.29;-10;10.57;636.48;0.02;849.44;;;700
5000;0.4;1.08;900000;79.39;1.00;1.06;0.9999;3.66;0.07;0.29;-10;12.56;671.44;0.02;1256.41;;;900
5000;0.6;0.33;300000;93.29;0.83;0.75;0.9988;2.19;0.03;0.25;-10;6.60;568.95;0.01;119.21;;;300
5000;0.6;0.56;500000;80.51;0.89;0.87;0.99931;2.75;0.04;0.29;-10;8.65;606.13;0.02;348.17;;;500
5000;0.6;0.78;700000;76.66;0.94;0.95;0.99964;3.28;0.05;0.30;-10;10.69;636.52;0.02;650.90;;;700
5000;0.6;1.00;900000;77.18;0.99;1.02;0.9999;3.75;0.07;0.30;-10;12.72;669.96;0.02;1035.89;;;900
5000;0.6;1.22;1100000;79.82;1.03;1.10;1.0001;4.21;0.09;0.29;-10;14.83;704.70;0.02;1516.36;;;1100
6000;0;0.14;100010;162.76;0.73;0.59;0.9977;1.26;0.02;0.14;-10;3.68;496.61;0.01;212.51;;;100.01
6000;0;0.42;300000;95.00;0.84;0.83;0.9988;1.99;0.03;0.24;-10;6.10;559.33;0.02;518.87;;;300
6000;0;0.71;500000;82.80;0.92;0.94;0.99931;2.53;0.04;0.28;-10;8.12;599.06;0.02;868.86;;;500
6000;0;0.99;700000;80.94;0.97;1.04;0.99964;2.98;0.06;0.29;-10;10.06;641.67;0.02;1284.53;;;700
6000;0;1.27;900000;84.12;1.04;1.12;0.9999;3.33;0.08;0.28;-10;11.91;695.69;0.03;1765.98;;;900
6000;0.2;0.14;100020;161.77;0.73;0.58;0.9977;1.26;0.02;0.14;-10;3.68;497.44;0.01;134.54;;;100.02
6000;0.2;0.42;300000;94.44;0.84;0.82;0.9988;1.99;0.03;0.25;-10;6.11;560.03;0.02;395.86;;;300
6000;0.2;0.69;500000;82.26;0.91;0.93;0.99931;2.54;0.04;0.28;-10;8.14;598.99;0.02;713.52;;;500
6000;0.2;0.97;700000;80.43;0.97;1.03;0.99964;3.00;0.06;0.29;-10;10.09;640.86;0.02;1103.31;;;700
6000;0.2;1.25;900000;83.39;1.03;1.11;0.9999;3.36;0.08;0.28;-10;11.97;692.35;0.02;1569.46;;;900
6000;0.4;0.13;100010;158.89;0.72;0.55;0.9977;1.27;0.02;0.15;-10;3.69;499.96;0.01;55.72;;;100.01
6000;0.4;0.39;300000;92.81;0.84;0.80;0.9988;2.01;0.03;0.25;-10;6.13;562.03;0.02;272.78;;;300
6000;0.4;0.66;500000;80.76;0.91;0.91;0.99931;2.57;0.04;0.29;-10;8.19;599.36;0.02;558.81;;;500
6000;0.4;0.92;700000;78.96;0.97;1.01;0.99964;3.05;0.06;0.29;-10;10.18;639.15;0.02;924.71;;;700
6000;0.4;1.18;900000;81.28;1.02;1.09;0.9999;3.47;0.07;0.29;-10;12.16;683.69;0.02;1380.70;;;900
6000;0.6;0.36;300000;89.95;0.83;0.77;0.9988;2.04;0.03;0.26;-10;6.18;564.79;0.01;146.87;;;300
6000;0.6;0.61;500000;78.81;0.90;0.88;0.99931;2.60;0.04;0.29;-10;8.24;603.10;0.02;400.04;;;500
6000;0.6;0.85;700000;76.74;0.95;0.97;0.99964;3.12;0.05;0.30;-10;10.30;638.74;0.02;740.81;;;700
6000;0.6;1.09;900000;78.62;1.01;1.06;0.9999;3.61;0.07;0.29;-10;12.41;676.30;0.02;1186.74;;;900
7000;0;0.16;100010;154.20;0.72;0.60;0.9977;1.15;0.02;0.15;-10;3.39;492.77;0.01;204.94;;;100.01
7000;0;0.47;300000;91.48;0.84;0.84;0.9988;1.85;0.03;0.25;-10;5.72;555.31;0.02;516.49;;;300
7000;0;0.78;500000;81.70;0.92;0.96;0.99931;2.38;0.04;0.28;-10;7.74;600.14;0.02;891.30;;;500
7000;0;1.10;700000;82.28;0.99;1.07;0.99964;2.80;0.06;0.28;-10;9.66;653.55;0.02;1341.97;;;700
7000;0.2;0.15;100010;153.34;0.72;0.59;0.9977;1.16;0.02;0.15;-10;3.39;493.49;0.01;134.43;;;100.01
7000;0.2;0.46;300000;91.02;0.84;0.84;0.9988;1.86;0.03;0.25;-10;5.73;556.12;0.02;403.57;;;300
7000;0.2;0.77;500000;81.21;0.92;0.95;0.99931;2.40;0.04;0.29;-10;7.76;599.91;0.02;747.31;;;500
7000;0.2;1.07;700000;81.63;0.99;1.06;0.99964;2.83;0.06;0.28;-10;9.71;651.12;0.02;1177.10;;;700
7000;0.4;0.14;100010;150.73;0.71;0.57;0.9977;1.17;0.02;0.15;-10;3.40;495.77;0.01;63.44;;;100.01
7000;0.4;0.43;300000;89.55;0.84;0.82;0.9988;1.87;0.03;0.26;-10;5.75;558.25;0.02;290.12;;;300
7000;0.4;0.72;500000;79.78;0.92;0.93;0.99931;2.43;0.04;0.29;-10;7.81;599.74;0.02;604.12;;;500
7000;0.4;1.01;700000;79.85;0.98;1.04;0.99964;2.90;0.06;0.29;-10;9.84;645.89;0.02;1016.47;;;700
7000;0.6;0.40;300000;87.02;0.83;0.79;0.9988;1.90;0.03;0.27;-10;5.79;561.19;0.02;174.93;;;300
7000;0.6;0.66;500000;77.58;0.90;0.91;0.99931;2.48;0.04;0.30;-10;7.89;600.96;0.02;457.23;;;500
7000;0.6;0.93;700000;77.50;0.97;1.00;0.99964;2.98;0.05;0.30;-10;9.98;642.83;0.02;847.44;;;700
7000;0.6;1.20;900000;81.49;1.03;1.10;0.9999;3.43;0.07;0.28;-10;12.09;690.64;0.02;1350.83;;;900
8000;0;0.17;100010;146.26;0.71;0.62;0.9977;1.05;0.01;0.16;-10;3.11;488.62;0.02;197.57;;;100.01
8000;0;0.52;300000;88.57;0.85;0.86;0.9988;1.73;0.03;0.26;-10;5.38;552.34;0.02;518.90;;;300
8000;0;0.87;500000;81.46;0.93;0.99;0.99931;2.25;0.04;0.28;-10;7.40;604.37;0.02;922.02;;;500
8000;0;1.22;700000;84.99;1.01;1.10;0.99964;2.62;0.06;0.27;-10;9.30;673.41;0.03;1414.31;;;700
8000;0.2;0.17;100010;145.49;0.71;0.61;0.9977;1.06;0.01;0.16;-10;3.11;489.40;0.02;134.13;;;100.01
8000;0.2;0.51;300000;88.13;0.84;0.85;0.9988;1.74;0.03;0.26;-10;5.39;552.89;0.02;415.00;;;300
8000;0.2;0.86;500000;80.91;0.93;0.98;0.99931;2.26;0.04;0.29;-10;7.42;603.44;0.02;789.21;;;500
8000;0.2;1.20;700000;84.26;1.01;1.10;0.99964;2.65;0.06;0.28;-10;9.35;669.83;0.02;1265.25;;;700
8000;0.4;0.16;100010;143.22;0.70;0.58;0.9977;1.06;0.01;0.16;-10;3.12;491.55;0.01;70.31;;;100.01
8000;0.4;0.48;300000;86.85;0.84;0.83;0.9988;1.75;0.03;0.27;-10;5.41;555.00;0.02;310.91;;;300
8000;0.4;0.81;500000;79.43;0.92;0.96;0.99931;2.30;0.04;0.29;-10;7.49;601.90;0.02;657.59;;;500
8000;0.4;1.13;700000;82.31;1.00;1.08;0.99964;2.73;0.06;0.28;-10;9.51;660.96;0.02;1125.14;;;700
8000;0.6;0.15;100010;139.47;0.69;0.54;0.9977;1.07;0.01;0.17;-10;3.14;495.48;0.01;5.28;;;100.01
8000;0.6;0.44;300000;84.63;0.83;0.81;0.9988;1.77;0.03;0.27;-10;5.45;558.26;0.02;205.12;;;300
8000;0.6;0.74;500000;77.21;0.91;0.93;0.99931;2.35;0.04;0.30;-10;7.57;601.65;0.02;521.82;;;500
8000;0.6;1.03;700000;79.51;0.98;1.05;0.99964;2.86;0.06;0.29;-10;9.73;651.56;0.02;979.91;;;700
0;0;0.10;100050;237.41;0.78;0.49;0.9977;1.95;0.02;0.10;0;5.75;541.47;0.01;258.24;;;100.05
0;0;0.30;300080;126.86;0.87;0.74;0.9988;2.93;0.04;0.18;0;9.00;605.50;0.01;570.67;;;300.08
0;0;0.50;500120;102.26;0.91;0.85;0.99931;3.54;0.05;0.23;0;11.26;639.82;0.02;853.35;;;500.12
0;0;0.70;700150;91.29;0.95;0.92;0.99964;4.04;0.06;0.25;0;13.22;663.98;0.02;1141.65;;;700.15
0;0;0.90;900320;85.66;0.99;0.98;0.9999;4.50;0.08;0.27;0;15.10;684.74;0.02;1455.60;;;900.32
0;0;1.00;1000060;84.45;1.00;1.00;1;4.71;0.08;0.27;0;16.00;695.98;0.02;1624.60;;;1000.06
0;0;1.10;1099800;83.24;1.01;1.02;1.0001;4.91;0.09;0.28;0;16.90;707.22;0.02;1793.60;;;1099.8
0;0.2;0.10;100020;234.68;0.78;0.48;0.9977;1.96;0.02;0.10;0;5.76;541.90;0.01;125.49;;;100.02
0;0.2;0.29;300000;125.79;0.86;0.73;0.9988;2.94;0.04;0.18;0;9.02;606.01;0.01;371.69;;;300
0;0.2;0.49;500000;101.56;0.91;0.85;0.99931;3.55;0.05;0.23;0;11.28;640.60;0.02;613.27;;;500
0;0.2;0.69;700000;90.78;0.95;0.92;0.99964;4.05;0.06;0.26;0;13.24;665.00;0.02;867.49;;;700
0;0.2;0.88;900000;85.16;0.98;0.97;0.9999;4.52;0.08;0.27;0;15.13;685.36;0.02;1150.61;;;900
0;0.2;1.08;1100000;82.66;1.01;1.02;1.0001;4.94;0.09;0.28;0;16.94;707.24;0.02;1462.18;;;1100
0;0.4;0.28;300000;122.42;0.86;0.70;0.9988;2.97;0.04;0.19;0;9.06;607.69;0.01;170.38;;;300
0;0.4;0.46;500000;99.33;0.91;0.82;0.99931;3.58;0.05;0.23;0;11.33;642.83;0.02;371.41;;;500
0;0.4;0.65;700000;89.04;0.94;0.90;0.99964;4.08;0.06;0.26;0;13.29;667.38;0.02;592.23;;;700
0;0.4;0.83;900000;83.64;0.98;0.95;0.9999;4.56;0.08;0.28;0;15.19;687.70;0.02;844.58;;;900
0;0.4;1.02;1100000;80.94;1.01;1.00;1.0001;5.01;0.09;0.29;0;17.05;707.33;0.02;1130.77;;;1100
