Alt (m);Mach number;Throttle;Power (W);SFC (gr/MJ);PCN HP;PCN LP;PCN PT;Inlet airflow (kg/s);Fuel flow (kg/s);eta;ISA dev C;P3 (bar);T3 (K);FAR;Residual thrust (N);;;;Power (kW)
0;0;0.090461121;100050;209.9466;0.73361;0.44797;0.9977;1.3036;0.021005;0.1104516;-10;5.3139;517.92;0.017903;172.38;;;;100.05
0;0;0.271320072;300080;114.0512;0.83266;0.69926;0.9988;2.0456;0.034224;0.2033203;-10;8.6475;584.19;0.018589;406.98;;;;300.08
0;0;0.452088608;500010;93.3419;0.88901;0.82997;0.99931;2.5161;0.046672;0.2484299;-10;11.037;620.46;0.02061;631.37;;;;500.01
0;0;0.632911392;700000;84.2564;0.93244;0.90464;0.99964;2.9138;0.05898;0.2752186;-10;13.155;646.06;0.022491;869.24;;;;700
0;0;0.813743219;900000;79.6632;0.96872;0.96282;0.99989;3.2838;0.071697;0.2910873;-10;15.197;667.96;0.02426;1132.77;;;;900
0;0;0.994575045;1100000;77.7712;1.0006;1.0101;1.0001;3.6054;0.085548;0.2981686;-10;17.141;691.84;0.026365;1416.92;;;;1100
0;0;1.175406872;1300000;77.0133;1.0308;1.0607;1.0003;3.9156;0.10012;0.301103;-10;19.077;714.41;0.02841;1727.87;;;;1300
0;0.2;0.088788282;100020;208.0044;0.73006;0.44202;0.9977;1.3114;0.020805;0.1114829;-10;5.3276;518.27;0.017627;85.26;;;;100.02
0;0.2;0.266311585;300000;113.2971;0.83035;0.69093;0.9988;2.0533;0.033989;0.2046736;-10;8.662;584.78;0.018392;270.49;;;;300
0;0.2;0.443852641;500000;92.804;0.88725;0.82239;0.99931;2.5244;0.046402;0.2498699;-10;11.054;621.17;0.020424;463.7;;;;500
0;0.2;0.621393697;700000;83.8646;0.93005;0.89958;0.99964;2.9211;0.058705;0.2765043;-10;13.172;647.03;0.02233;675.14;;;;700
0;0.2;0.798934754;900000;79.2661;0.96726;0.95515;0.99989;3.2948;0.07134;0.2925453;-10;15.222;668.56;0.024058;914.58;;;;900
0;0.2;0.97647581;1100000;77.3373;0.99818;1.0034;1.0001;3.6224;0.085071;0.2998414;-10;17.18;691.79;0.026095;1178.56;;;;1100
0;0.2;1.154016866;1300000;76.6053;1.0281;1.052;1.0003;3.9346;0.099587;0.3027065;-10;19.122;714.2;0.028123;1469.66;;;;1300
0;0.4;0.252589038;300000;110.9561;0.82372;0.66551;0.9988;2.0764;0.033287;0.208992;-10;8.7052;586.6;0.017813;132.57;;;;300
0;0.4;0.420981729;500000;91.1671;0.88262;0.79679;0.99931;2.5498;0.045584;0.2543564;-10;11.105;623.26;0.019865;294.96;;;;500
0;0.4;0.589374421;700000;82.5791;0.92243;0.87684;0.99964;2.9477;0.057805;0.2808087;-10;13.229;649.24;0.02179;480.67;;;;700
0;0.4;0.757767113;900000;78.1242;0.96127;0.93404;0.99989;3.3248;0.070312;0.2968213;-10;15.29;670.75;0.023498;695.97;;;;900
0;0.4;0.926159805;1100000;76.0353;0.99141;0.98622;1.0001;3.6733;0.083639;0.304976;-10;17.298;691.83;0.0253;941.02;;;;1100
0;0.4;1.094552496;1300000;75.3861;1.0203;1.03;1.0003;3.9912;0.098002;0.3076021;-10;19.258;713.78;0.027284;1213.48;;;;1300
0;0.6;0.387326671;500000;88.2981;0.87062;0.74526;0.99931;2.5958;0.044149;0.2626209;-10;11.195;625.88;0.018902;121.34;;;;500
0;0.6;0.54225734;700000;80.3937;0.91341;0.83853;0.99964;2.9935;0.056276;0.2884423;-10;13.329;652.96;0.020888;282.08;;;;700
0;0.6;0.697188008;900000;76.3245;0.94891;0.90332;0.99989;3.3684;0.068692;0.3038203;-10;15.388;675.24;0.022663;472.9;;;;900
0;0.6;0.852118677;1100000;74.155;0.98309;0.95279;1.0001;3.7385;0.08157;0.3127091;-10;17.452;694.4;0.024243;696.98;;;;1100
0;0.6;1.007049345;1300000;73.3656;1.0089;1.0005;1.0003;4.0837;0.095375;0.3160737;-10;19.478;713.8;0.025954;951.15;;;;1300
1000;0;0.0966657;100020;198.9977;0.729;0.46061;0.9977;1.2074;0.019904;0.1165286;-10;4.9412;514.79;0.018316;166.71;;;;100.02
1000;0;0.289939113;300000;109.0468;0.83069;0.7237;0.9988;1.9161;0.032714;0.2126511;-10;8.1236;580.4;0.018971;400.36;;;;300
1000;0;0.483231855;500000;89.9447;0.88957;0.84732;0.99931;2.3724;0.044972;0.2578131;-10;10.442;616.61;0.021063;629.25;;;;500
1000;0;0.676524597;700000;81.7825;0.93673;0.91895;0.99964;2.7683;0.057248;0.2835438;-10;12.543;642.35;0.022978;878.75;;;;700
1000;0;0.869817338;900000;78.3033;0.97464;0.97915;0.99989;3.1181;0.070473;0.2961425;-10;14.546;668.02;0.025113;1155.1;;;;900
1000;0;1.06311008;1100000;77.0193;1.0092;1.0345;1.0001;3.4403;0.084721;0.3010794;-10;16.508;693.54;0.027363;1460.56;;;;1100
1000;0.2;0.094958701;100020;197.3076;0.72577;0.45425;0.9977;1.214;0.019735;0.1175268;-10;4.9529;515.24;0.018062;87;;;;100.02
1000;0.2;0.28481914;300000;108.3535;0.82841;0.71175;0.9988;1.9228;0.032506;0.2140119;-10;8.1362;580.93;0.018784;274.05;;;;300
1000;0.2;0.474698566;500000;89.471;0.88781;0.83943;0.99931;2.3795;0.044735;0.2591783;-10;10.456;617.37;0.02089;473.04;;;;500
1000;0.2;0.664577993;700000;81.4231;0.93419;0.91245;0.99964;2.7752;0.056996;0.2847954;-10;12.559;643.29;0.02282;696.62;;;;700
1000;0.2;0.85445742;900000;77.859;0.97242;0.97345;0.99989;3.1326;0.070073;0.2978325;-10;14.579;668.03;0.024854;951.18;;;;900
1000;0.2;1.044336846;1100000;76.6091;1.0065;1.0267;1.0001;3.4568;0.08427;0.3026917;-10;16.547;693.37;0.027086;1236.2;;;;1100
